"TIMESTAMP","NEE_VUT_REF","TA_F_MDS","P_ERA","VPD_F_MDS","SW_IN_F_MDS","LE_F_MDS","TA_F_MDS_gw","P_ERA_gw","VPD_F_MDS_gw","SW_IN_F_MDS_gw","LE_F_MDS_gw","TA_F_MDS_ngw","P_ERA_ngw","VPD_F_MDS_ngw","SW_IN_F_MDS_ngw","LE_F_MDS_ngw","site_ID","isubts"
1999,358.742,5.892,489.648,3.856,115.504,23.6917,15.5154857142857,180.784,7.57733571428571,210.91175,48.0233312857143,-0.0958622222222231,308.869,1.53989777777778,56.1386666666667,8.55206623688889,"RU-Fyo",67
2000,313.38,5.576,573.728,2.672,105.827,28.8571,13.5963214285714,325.89,4.60742142857143,186.235678571429,60.0735299285714,0.606933628318585,247.836,1.47298230088496,56.0160398230089,9.51955510265487,"RU-Fyo",67
2001,351.783,4.822,515.062,2.696,109.18,32.5673,15.2449071428571,229.965,5.10296428571429,195.336585714286,70.2844197635714,-1.66268444444444,285.089,1.19876,55.5721511111111,9.09887874013333,"RU-Fyo",67
2002,42.6022,5.091,449.36,3.494,119.307,21.283,15.9719071428571,182.326,7.04672857142857,219.252021428571,46.2627699214286,-1.67952,267.04,1.28367111111111,57.1193155555556,5.74007741146667,"RU-Fyo",67
2003,189.764,4.55,632.353,2.508,98.18,24.7707,14.2498285714286,348.145,4.74405714285714,173.762992857143,51.8592086214286,-1.48487111111111,284.21,1.11588444444444,51.1506977777778,7.91571009884444,"RU-Fyo",67
2004,143.815,4.578,551.674,2.868,109.3,29.5236,14.2448071428571,246.929,5.39452142857143,197.923328571429,63.1745063571429,-1.41045132743363,304.739,1.30221681415929,54.4007389380531,8.67787207522124,"RU-Fyo",67
2005,90.7197,4.982,553.938,2.828,108.904,30.5328,14.7431571428571,320.915,4.85110714285714,187.625492857143,66.8731097857143,-1.09148888888889,233.032,1.56925333333333,59.9211422222222,7.92101487866667,"RU-Fyo",67
2006,118.58,4.762,485.785,2.78,107.59,28.046,14.7617785714286,264.042,5.35928571428571,188.01735,62.2771951428571,-1.46012,221.743,1.17556444444444,57.54636,6.74661166417778,"RU-Fyo",67
2007,-58.9297,5.684,557.792,2.953,109.953,22.7921,15.13085,271.342,5.42283571428571,198.718607142857,43.3953636428571,-0.19472888888889,286.443,1.41692444444444,54.7212222222222,9.97226226133333,"RU-Fyo",67
2008,97.1441,5.78,597.44,2.511,98.327,27.1958,13.7753357142857,325.45,4.35607142857143,170.773414285714,59.6157729332143,0.82646017699115,271.975,1.36833628318584,53.4493451327434,7.11271380619469,"RU-Fyo",67
