Climateclass,IGBP,MAP,MAT,canopyH_Lang,sd_Lang,site_ID,source,timestamp,.geo
Dfb,DBF,803,5.83,16.79942195,7.734252589,US-UMB,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-84.71379669471634,45.56879815438296],[-84.72142274425188,45.56704312183692],[-84.7260736334932,45.562462745189016],[-84.7259359242986,45.55684378242366],[-84.72106456559428,45.55237761408038],[-84.71335971423457,45.55080562605148],[-84.7058252140848,45.552740660000275],[-84.70139857221055,45.55742833396136],[-84.7018066654909,45.56304085545348],[-84.7068915742429,45.567389296907066],[-84.71379669471634,45.56879815438296]]]}"
Dfb,DBF,803,5.83,21.07202542,6.309523969,US-UMd,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-84.69750313946705,45.571500369621354],[-84.70512955588309,45.56974533705138],[-84.70978066877892,45.56516496036537],[-84.70964295284581,45.55954599760141],[-84.70477135981494,45.55507982929702],[-84.69706613797456,45.553507841289786],[-84.68953127552814,45.555442875212506],[-84.68510442070196,45.560130549136495],[-84.68551253349563,45.5657430706327],[-84.69059768679215,45.57009151212582],[-84.69750313946705,45.571500369621354]]]}"
Dfb,WET,943,6,9.385283598,6.060005509,CA-Mer,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-75.51859968948557,45.41840159405235],[-75.52620540176916,45.41664656283493],[-75.53084389318444,45.412066188301765],[-75.53070655751635,45.40644722545961],[-75.52584818821502,45.4019810549565],[-75.51816387368972,45.40040906572521],[-75.51064945670825,45.402344101121365],[-75.50623461937853,45.40703177714243],[-75.50664163097045,45.41264429840716],[-75.51171298390297,45.41699273766573],[-75.51859968948557,45.41840159405235]]]}"
Dfb,ENF,1036,8,21.14713721,5.059344776,CA-TP4,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-80.35739765673343,42.71920070797628],[-80.36466421699613,42.71744569947151],[-80.36909595535224,42.71286536109006],[-80.36896484632221,42.70724639693533],[-80.36432309404317,42.70278018951021],[-80.35698126395435,42.70120817972372],[-80.34980176565138,42.703143239862776],[-80.34558378574363,42.70783095109908],[-80.34597275610429,42.71344346847626],[-80.35081804503479,42.717791870211],[-80.35739765673343,42.71920070797628]]]}"
Dfb,WET,828,4.08,15.51509142,6.233743433,US-Los,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-89.97920131884841,46.091699098516365],[-89.98689934735971,46.089944061294936],[-89.99159411570726,46.08536367720535],[-89.99145508436172,46.07974471471032],[-89.98653775272092,46.07527855396727],[-89.97876021624634,46.07370657016952],[-89.97115463661326,46.075641599025154],[-89.96668621530864,46.08032926573732],[-89.96709813682556,46.08594178802954],[-89.97223102314447,46.09029023720726],[-89.97920131884841,46.091699098516365]]]}"
Dfb,MF,823,4.33,20.22737972,5.290089924,US-PFa,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-90.27230249019246,45.95489833729769],[-90.27998149486051,45.95314330130793],[-90.28466466610013,45.94856291917878],[-90.28452598421691,45.94294395661254],[-90.27962080308995,45.938477793867285],[-90.27186247705308,45.93690580895488],[-90.26427568349588,45.938840839152256],[-90.25981830437692,45.94352850777407],[-90.26022921412422,45.94914102985552],[-90.26534942012158,45.9534894769984],[-90.27230249019246,45.95489833729769]]]}"
Dfb,DBF,787,4.02,19.65254888,9.883963549,US-WCr,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-90.07990119793837,45.8149004006237],[-90.08756087635373,45.81314536588813],[-90.09223226612067,45.80856498575522],[-90.09209393923908,45.80294602311646],[-90.0872011017787,45.79847985833243],[-90.0794622915818,45.79690787228502],[-90.07189458275539,45.79884290384863],[-90.06744842135365,45.80353057441499],[-90.06785830323116,45.80914309628181],[-90.07296562732445,45.813491541352676],[-90.07990119793837,45.8149004006237]]]}"
Dfb,ENF,1316,6.7,28.76771916,9.216438203,CZ-BK1,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[18.53688439826933,49.511076018431304],[18.528662312345595,49.50932094826595],[18.52364807917225,49.50474051174142],[18.52379674370687,49.49912155115242],[18.529048788768545,49.49465544396153],[18.53735551206225,49.49308348997631],[18.545478589091246,49.49501848294564],[18.550251193398825,49.49970609858085],[18.54981140701712,49.50531862650941],[18.54432921559781,49.50966713011255],[18.53688439826933,49.511076018431304]]]}"
Dfb,MF,550,9.3,24.27074825,8.002902689,CZ-Lnz,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[16.946331970707288,48.69054791538463],[16.938244699975794,48.68879285352901],[16.933312648980753,48.68421243023043],[16.9334588341322,48.678593469160454],[16.938624773569344,48.674127348461816],[16.946795364167855,48.6725553869569],[16.95478531551558,48.67449038897794],[16.959479668014488,48.679178017496604],[16.959047048659944,48.68479054400367],[16.953654716016274,48.68913903387876],[16.946331970707288,48.69054791538463]]]}"
Dfb,ENF,843,8.2,29.19259893,8.595847941,DE-Tha,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[13.565151710416151,50.97155646826434],[13.556673789332056,50.96980138259494],[13.551503603275815,50.96522092139415],[13.551656975299062,50.9596019617029],[13.557072420064593,50.95513587971402],[13.565637474620802,50.95356393975843],[13.574013176826032,50.95549891583981],[13.578934277295154,50.960186507437754],[13.578480892800158,50.96579903801806],[13.57282818061528,50.9701475672343],[13.565151710416151,50.97155646826434]]]}"
