dobj,hasNextVersion,spec,fileName,size,submTime,timeStart,timeEnd
https://meta.icos-cp.eu/objects/zOn9ryeQT_MIehl144HjSxvf,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_FR-Hes_FLUXNET_INTERIM_HH_L2.zip,16117632,2024-12-20T13:40:34.368Z,2021-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/buipQelx3U7x3D3TMydVb0jZ,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_IT-Ren_FLUXNET_INTERIM_HH_L2.zip,21434194,2024-12-17T12:58:35.996Z,2020-12-31T23:00:00Z,2024-01-01T23:00:00Z
https://meta.icos-cp.eu/objects/PRdHOaWn1fudB3cKbUpG8ICN,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_FR-Fon_FLUXNET_INTERIM_HH_L2.zip,50541135,2024-12-12T13:10:55.300Z,2018-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/hcoV5ZnVjrxWA2sKSVblgYV1,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_FR-Bil_FLUXNET_INTERIM_HH_L2.zip,48644321,2024-12-12T12:50:24.268Z,2018-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/n1FKErdYYyi78k2DjuUVn6CS,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_FI-Hyy_FLUXNET_INTERIM_HH_L2.zip,56431631,2024-12-12T11:31:03.571Z,2017-12-31T22:00:00Z,2024-10-20T22:00:00Z
https://meta.icos-cp.eu/objects/b3_lzsU_qI03MMp9gN2xNMkO,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_DE-Tha_FLUXNET_INTERIM_HH_L2.zip,38421669,2024-12-12T11:13:46.180Z,2019-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/e4R3UKirFx7iuzAB1DheSlKL,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_DE-Geb_FLUXNET_INTERIM_HH_L2.zip,41972368,2024-12-12T10:58:43.210Z,2019-12-31T23:00:00Z,2024-08-31T23:00:00Z
https://meta.icos-cp.eu/objects/nM0DIHRj6cA2f-_nC-wp2e11,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_NL-Loo_FLUXNET_INTERIM_HH_L2.zip,9507469,2024-12-10T11:46:15.365Z,2022-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/a31bIA9IBFHViJCqj48N7zig,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_IT-MBo_FLUXNET_INTERIM_HH_L2.zip,14911165,2024-12-10T11:35:31.200Z,2021-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/YCuEeh4cBQutBTRnZUsc41DA,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_FR-Pue_FLUXNET_INTERIM_HH_L2.zip,29641127,2024-12-10T11:25:23.981Z,2020-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/4gSchNNOZq4_dfqABMhGkuVG,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_DK-Sor_FLUXNET_INTERIM_HH_L2.zip,27215891,2024-11-12T17:42:01.646Z,2020-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/8LRapORpaQDTWHC03wnHKq8q,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_DE-HoH_FLUXNET_INTERIM_HH_L2.zip,53316694,2024-11-12T17:27:45.243Z,2018-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/6jpDcHYsx7YFMRAu9fjQMYCw,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_CZ-Lnz_FLUXNET_INTERIM_HH_L2.zip,16250566,2024-11-12T17:09:18.972Z,2021-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/zCipsLxm8G5tjYrsOrfDyBQJ,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_CZ-BK1_FLUXNET_INTERIM_HH_L2.zip,15807487,2024-11-12T10:19:17.231Z,2021-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/3bAOwdTlzaOI9cxRRO7_N4aV,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_CH-Dav_FLUXNET_INTERIM_HH_L2.zip,48187552,2024-11-12T09:34:45.774Z,2018-12-31T23:00:00Z,2024-09-30T23:00:00Z
https://meta.icos-cp.eu/objects/qUBqJSRSC2ygEKMhB5ebE-yw,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_BE-Vie_FLUXNET_INTERIM_HH_L2.zip,38673001,2024-11-11T16:31:11.321Z,2019-12-31T23:00:00Z,2024-10-20T23:00:00Z
https://meta.icos-cp.eu/objects/Mvin8LybGsCKGZpGOKarDlHD,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_BE-Maa_FLUXNET_INTERIM_HH_L2.zip,40762391,2024-11-11T16:17:51.159Z,2019-12-31T23:00:00Z,2024-09-20T23:00:00Z
https://meta.icos-cp.eu/objects/F8uOw_qbfw3PtMEhpnZ3TPBB,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_BE-Dor_FLUXNET_INTERIM_HH_L2.zip,14541477,2024-11-11T16:05:22.496Z,2021-12-31T23:00:00Z,2024-09-20T23:00:00Z
https://meta.icos-cp.eu/objects/uDjdnU4Yhdq8I8VltUPo3zqR,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_BE-Bra_FLUXNET_INTERIM_HH_L2.zip,37707536,2024-11-11T15:54:37.367Z,2019-12-31T23:00:00Z,2024-09-20T23:00:00Z
https://meta.icos-cp.eu/objects/ZgmnNVX6K2U7iki65E6tFnV-,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_SE-Htm_FLUXNET_INTERIM_HH_L2.zip,57799499,2024-10-25T15:53:39.832Z,2017-12-31T23:00:00Z,2024-09-30T23:00:00Z
https://meta.icos-cp.eu/objects/mzfSsBgcxFWK-tL2Vg4-sD96,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_IT-BCi_FLUXNET_INTERIM_HH_L2.zip,9296651,2024-10-25T15:38:19.010Z,2022-12-31T23:00:00Z,2024-08-31T23:00:00Z
https://meta.icos-cp.eu/objects/mR3D9viSUSO2xBudorC_qxut,false,http://meta.icos-cp.eu/resources/cpmeta/etcL2Fluxnet,ICOSETC_FR-Lqu_FLUXNET_INTERIM_HH_L2.zip,13953101,2024-10-25T15:24:53.776Z,2021-12-31T23:00:00Z,2024-09-30T23:00:00Z
